STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC,D.O. (mg/l),pH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATE- N+ NITRITE-N (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)
2498,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH,22.1,8.2,7.8,209,3.6,0.8,5158,7967
1046,"GANGA AT ALLAHABAD (RASOOLABAD), U.P.",UTTAR PRADESH,24.4,8.7,8.3,385,3.6,1.7,17283,29500
2487,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,24.5,8.4,8.3,382,3.9,1.8,18333,31833
1049,"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",UTTAR PRADESH,24.4,8.5,8.3,404,4.2,2,19500,32417
2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH,22.4,8.4,7.7,290,2.5,0.4,1567,3078
2486,"GANGA D/S, MIRZAPUR",UTTAR PRADESH,23.8,8.4,7.6,299,2.6,0.5,2146,6518
1070,"GANGA AT VARANASI U/S (ASSIGHAT), U.P",UTTAR PRADESH,22.5,8.3,8.2,338,2.9,0,2617,3950
1071,"GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",UTTAR PRADESH,22.5,7.8,8.5,385,4.5,0,31167,47333
1073,"GANGA AT TRIGHAT (GHAZIPUR), U.P",UTTAR PRADESH,22.7,7.7,8.5,369,3.9,0,17500,25667
2502,"SHUKRA TAL, MUZAFFARNAGAR, NEAR GANGA RIVER",UTTAR PRADESH,17,8.6,8,290,1.8,0,70,125
1074,"GANGA AT BUXAR,BIHAR",BIHAR,24.5,8.4,8.1,371,2.5,0,1190,3100
2551,"GANGA AT BUXAR, RAMREKHAGHAT",BIHAR,24.9,8.1,8.1,376,2.7,0,3183,9350
1077,"GANGA AT KHURJI, PATNA U/S, BIHAR",BIHAR,24.5,8.1,8.1,376,2.3,0,1600,3436
2556,"GANGA AT INDRAPURI, DEHRI ON SONE",BIHAR,22.3,8.2,8.1,270,2.2,0,660,2033
2564,"GANGA  AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",BIHAR,23.8,8.3,8.2,311,2.5,0,1483,3967
2552,GANGA DARBHANGA GHAT AT PATNA,BIHAR,24.7,7.8,7.9,402,2.8,0,6527,19091
1079,"GANGA AT PATNA D/S (GANGA BRIDGE),BIHAR",BIHAR,24.9,7.9,8,402,2.7,0,3782,11564
2555,"GANGA AT PUNPUN, PATNA",BIHAR,24.7,7.3,7.7,452,2.5,0,1382,4573
2553,GANGA AT FATUHA,BIHAR,24.4,8.1,8,386,2.3,0,1846,4982
1817,GANGA AT MOKAMA (U/S),BIHAR,24.1,7.8,7.9,277,2.3,0,1251,2770
1815,GANGA AT MOKAMA (D/S),BIHAR,24,7.7,7.8,295,2.6,0,2792,9430
1818,GANGA AT MUNGER,BIHAR,23.9,7.6,7.8,268,2.4,0,1622,4411
2554,"GANGA AT SULTANGANJ, BHAGALPUR",BIHAR,24,7.7,7.8,280,2.5,0,1560,3722
1819,GANGA AT BHAGALPUR,BIHAR,24.4,7.7,7.8,276,2.6,0,2933,9044
1816,GANGA AT KAHALGAON,BIHAR,23.4,7.8,7.9,265,2.7,0,2678,8511
3113,GANGA AT D/S BUXAR NEAR GANGA BRIDGE,BIHAR,24.5,8.2,8.1,352,2.5,0,1705,4683
3114,GANGA RIVER NEAR DANAPUR (NEAR PIPAPUL),BIHAR,24.1,8.1,8.1,375,2.4,0,1198,2855
3115,GANGA RIVER AT BARH,BIHAR,23.4,7.8,7.9,260,2.2,0,1106,2529
3116,GANGA AT U/S MUNGER (NEAR INTAKE WELL ON GANGA),BIHAR,23.8,7.8,7.9,267,2.3,0,998,2478
3117,GANGA AT U/S SULTANGANJ,BIHAR,23.9,7.8,7.9,270,2.3,0,1220,2844
3118,GANGA AT U/S BHAGALPUR,BIHAR,23.9,7.7,7.9,262,2.4,0,1290,3020
3122,"GANGA AT MALSALAMI, PATNA",BIHAR,24.5,8,8,377,2.4,0,1846,5073
3123,GANGA RIVER AT BARAHIA,BIHAR,22.5,7.7,7.9,292,2.3,0,1048,2833
1080,GANGA AT BAHARAMPORE WEST BENGAL,WEST BENGAL,26.5,7.4,7.9,304,4.2,0.8,166358,287833
2511,"NABADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",WEST BENGAL,27.4,7.4,7.9,353,3.3,0.7,143275,474917
2506,"TRIBENI ON GANGA, NEAR BURNING GHAT",WEST BENGAL,28.3,6.9,8,312,2.8,0.8,34392,61283
1054,"GANGA AT PALTA, WEST BENGAL",WEST BENGAL,27,6.7,7.8,315,3.4,0.9,106417,171417
1472,"GANGA AT SERAMPORE, WEST BENGAL",WEST BENGAL,27.3,6,7.9,323,3.1,0.7,153917,335000
1053,"GANGA AT DAKSHMINESWAR, WEST BENGAL",WEST BENGAL,26.5,6.7,8,319,4.2,0.7,285833,586250
1471,"GANGA AT HOWRAH-SHIVPUR, WEST BENGAL",WEST BENGAL,26.5,6.3,8,314,3.6,0.7,122417,286083
1470,"GANGA AT GARDEN REACH, WEST BENGAL",WEST BENGAL,26.4,6.1,8.1,322,3.2,0.7,310417,542917
1052,"GANGA AT ULUBERIA, WEST BENGAL",WEST BENGAL,27.1,6.3,8.1,368,3.4,0.6,31417,78083
1469,"GANGA AT DIAMOND HARBOUR, WEST BENGAL",WEST BENGAL,26.4,6.9,8,1900,3.7,0.8,41750,88917
